INFO  - 2015-01-08 14:16:02.203; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/, dataDir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/
INFO  - 2015-01-08 14:16:02.208; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-01-08 14:16:02.217; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-01-08 14:16:02.217; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-01-08 14:16:02.234; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data
INFO  - 2015-01-08 14:16:02.239; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index/
WARN  - 2015-01-08 14:16:02.239; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-01-08 14:16:02.251; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index
INFO  - 2015-01-08 14:16:02.301; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-01-08 14:16:02.301; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-01-08 14:16:02.305; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-01-08 14:16:02.305; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-01-08 14:16:02.306; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-01-08 14:16:02.310; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-01-08 14:16:02.310; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-01-08 14:16:02.418; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-01-08 14:16:02.426; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-08 14:16:02.427; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-08 14:16:02.427; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-08 14:16:02.427; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-08 14:16:02.433; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.433; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.435; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-01-08 14:16:02.436; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.436; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-01-08 14:16:02.438; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-08 14:16:02.438; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-01-08 14:16:02.438; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-01-08 14:16:02.439; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-01-08 14:16:02.439; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-01-08 14:16:02.439; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-01-08 14:16:02.440; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-01-08 14:16:02.440; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-01-08 14:16:02.443; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-01-08 14:16:02.447; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-01-08 14:16:02.450; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-01-08 14:16:02.461; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-01-08 14:16:02.461; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.462; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.462; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.462; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.462; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.462; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.463; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.463; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-01-08 14:16:02.484; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-08 14:16:02.487; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-08 14:16:02.488; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-08 14:16:02.489; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-08 14:16:02.490; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-08 14:16:02.509; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-01-08 14:16:02.509; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-01-08 14:16:02.517; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
